ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9278887923544744,0.9727529563453188,0.9303944315545244,0.8832599118942731,0.9062146892655367,0.8484603875619425
Decision Tree,0.9061685490877498,0.9323200753386128,0.8949771689497716,0.8634361233480177,0.8789237668161435,0.8027123837738812
kNN,0.9052997393570807,0.9568288258679425,0.8929384965831435,0.8634361233480177,0.8779395296752519,0.8009168993236933
Naive Bayes,0.8305821025195482,0.9474399408414919,0.71334431630972,0.9537444933920705,0.8162111215834119,0.6892659454005928
Random Forest,0.9322328410078193,0.9826253484094831,0.9331797235023042,0.8920704845814978,0.9121621621621622,0.8576213861177527
